['-5.017831660006418e-05', '0.0001384923191588224', '-0.0001886484949003568', '0.0001886920208108665', '-0.0001385987390522057', '5.0353534594082e-05', '5.019919414777683e-05', '-0.0001384743778835954', '0.0001886509740393689', '-0.0001886799937832842', '0.0001385615477150612', '-5.036725317183247e-05']
['5.03782566852794e-05', '5.030660729558341e-05', '-0.0001385277794430752', '0.0001886803225971292', '-0.0001886712413968184', '0.0001384558016122568', '-5.035580650906468e-05', '-5.032804024077632e-05', '0.0001385857322587648', '-0.0001887532931616191', '0.0001886884102333549', '-0.0001384379485771926']
['1.482873519168861e-05', '8.597868333510265e-05', '-0.0001584437636463918', '0.0001957806662414843', '-0.0001752981571272164', '0.000114863753281059', '-1.483294934429627e-05', '-8.596136828345688e-05', '0.0001585200519805339', '-0.0001959495303749167', '0.0001753196291147604', '-0.0001148109336190737']
['-1.487555059994827e-05', '0.0001147351061781159', '-0.0001752274611988611', '0.0001957688945023339', '-0.000158462006219187', '8.603344641473769e-05', '1.487320930873616e-05', '-0.0001146058237718374', '0.0001752165423132095', '-0.0001958895212654168', '0.0001584774548593449', '-8.60392931856871e-05']
['-5.023919407209203e-05', '0.0001384201960543751', '-0.0001886466061840562', '0.0001886850973083554', '-0.0001384704239591853', '5.03843619290048e-05', '5.019256099405864e-05', '-0.0001384800398318335', '0.0001886541559254764', '-0.00018874715377496', '0.0001385512700602751', '-5.029549684734195e-05']
['-8.600952145876959e-05', '0.0001584263696306854', '-0.0001957606415651693', '0.0001753640899429387', '-0.0001146883132090204', '1.480619925058993e-05', '8.598248707888359e-05', '-0.0001584431882516212', '0.0001957520095519157', '-0.0001754086868075226', '0.0001148078674812018', '-1.481190103161589e-05']
['-0.0001147493298714591', '0.0001752094444815316', '-0.0001957352789398137', '0.0001584962516419429', '-8.604799134162276e-05', '-1.493472175771151e-05', '0.0001147374831999738', '-0.0001752281205034102', '0.0001957544563466698', '-0.0001583626531501066', '8.598273978635285e-05', '1.490254232689785e-05']
['-0.0001385356499962808', '0.0001886515603154882', '-0.0001886316159923083', '0.0001385444564818621', '-5.018587824414913e-05', '-5.024054169892256e-05', '0.0001384351981784388', '-0.0001886265677737191', '0.0001886520078906642', '-0.0001385719693736602', '5.019838164825479e-05', '5.03038438764364e-05']
['-0.0001584729827439205', '0.0001957749572425895', '-0.0001753339045812678', '0.0001147766306013215', '-1.486083524010568e-05', '-8.595374052807686e-05', '0.000158488145307747', '-0.0001957663910361962', '0.0001753503144939481', '-0.0001148800303032315', '1.48125051524837e-05', '8.606339009017562e-05']
['-0.0001751989336220575', '0.0001957639730483618', '-0.0001584718999854055', '8.606440008113895e-05', '1.484793372530877e-05', '-0.0001147621365979741', '0.0001751890332550888', '-0.000195771274489958', '0.0001584648696721953', '-8.59457209364506e-05', '-1.492090719552732e-05', '0.0001147549544157552']
['-0.0001886859648683469', '0.0001886593762249791', '-0.000138299372725201', '5.023838487042224e-05', '5.027968530459838e-05', '-0.000138439826153232', '0.0001886771547546609', '-0.000188680198726748', '0.00013845879398076', '-5.03214566495141e-05', '-5.030424611775614e-05', '0.0001384320853679017']
['-0.0001957605651662529', '0.0001753096133641346', '-0.0001147287397759684', '1.487816595229769e-05', '8.595025851792194e-05', '-0.0001585281938773654', '0.0001957485997671508', '-0.0001753000659339322', '0.0001148540361162817', '-1.485054643504426e-05', '-8.598306549210514e-05', '0.0001584297457033519']
['-0.0001957654270653104', '0.0001584386589971111', '-8.601964485846856e-05', '-1.489018268889787e-05', '0.0001146689854149088', '-0.0001751988446240712', '0.0001957398068778907', '-0.0001585035748421359', '8.602749628417801e-05', '1.489905600121797e-05', '-0.0001147151642692403', '0.0001753258102508721']
